timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1641991598173,113,HTTP Request,200,OK,oracle 1-3,text,true,,365,164,33,33,https://ej7guxgo78.execute-api.us-east-2.amazonaws.com/items/2112101,113,0,0
1641991598142,149,HTTP Request,200,OK,oracle 1-55,text,true,,365,164,32,32,https://ej7guxgo78.execute-api.us-east-2.amazonaws.com/items/2112101,149,0,0
1641991598186,106,HTTP Request,200,OK,oracle 1-82,text,true,,365,164,32,32,https://ej7guxgo78.execute-api.us-east-2.amazonaws.com/items/2112101,106,0,0
1641991597615,680,HTTP Request,200,OK,oracle 1-36,text,true,,365,164,31,31,https://ej7guxgo78.execute-api.us-east-2.amazonaws.com/items/2112101,680,0,0
1641991598178,132,HTTP Request,200,OK,oracle 1-86,text,true,,365,164,31,31,https://ej7guxgo78.execute-api.us-east-2.amazonaws.com/items/2112101,132,0,0
1641991598181,134,HTTP Request,200,OK,oracle 1-33,text,true,,365,164,30,30,https://ej7guxgo78.execute-api.us-east-2.amazonaws.com/items/2112101,134,0,0
1641991598207,112,HTTP Request,200,OK,oracle 1-93,text,true,,365,164,29,29,https://ej7guxgo78.execute-api.us-east-2.amazonaws.com/items/2112101,112,0,0
1641991598176,154,HTTP Request,200,OK,oracle 1-68,text,true,,365,164,28,28,https://ej7guxgo78.execute-api.us-east-2.amazonaws.com/items/2112101,154,0,0
1641991598201,137,HTTP Request,200,OK,oracle 1-63,text,true,,365,164,28,28,https://ej7guxgo78.execute-api.us-east-2.amazonaws.com/items/2112101,137,0,0
1641991598229,109,HTTP Request,200,OK,oracle 1-39,text,true,,365,164,28,28,https://ej7guxgo78.execute-api.us-east-2.amazonaws.com/items/2112101,109,0,0
1641991598207,132,HTTP Request,200,OK,oracle 1-50,text,true,,365,164,28,28,https://ej7guxgo78.execute-api.us-east-2.amazonaws.com/items/2112101,132,0,0
1641991598215,125,HTTP Request,200,OK,oracle 1-71,text,true,,365,164,27,27,https://ej7guxgo78.execute-api.us-east-2.amazonaws.com/items/2112101,125,0,0
1641991598235,112,HTTP Request,200,OK,oracle 1-80,text,true,,365,164,27,27,https://ej7guxgo78.execute-api.us-east-2.amazonaws.com/items/2112101,112,0,0
1641991598203,146,HTTP Request,200,OK,oracle 1-23,text,true,,365,164,26,26,https://ej7guxgo78.execute-api.us-east-2.amazonaws.com/items/2112101,146,0,0
1641991598217,133,HTTP Request,200,OK,oracle 1-65,text,true,,365,164,26,26,https://ej7guxgo78.execute-api.us-east-2.amazonaws.com/items/2112101,132,0,0
1641991598227,125,HTTP Request,200,OK,oracle 1-79,text,true,,365,164,25,25,https://ej7guxgo78.execute-api.us-east-2.amazonaws.com/items/2112101,125,0,0
1641991598208,148,HTTP Request,200,OK,oracle 1-8,text,true,,365,164,24,24,https://ej7guxgo78.execute-api.us-east-2.amazonaws.com/items/2112101,148,0,0
1641991598238,124,HTTP Request,200,OK,oracle 1-58,text,true,,365,164,23,23,https://ej7guxgo78.execute-api.us-east-2.amazonaws.com/items/2112101,124,0,0
1641991598235,128,HTTP Request,200,OK,oracle 1-81,text,true,,365,164,23,23,https://ej7guxgo78.execute-api.us-east-2.amazonaws.com/items/2112101,128,0,0
1641991598265,98,HTTP Request,200,OK,oracle 1-72,text,true,,365,164,22,22,https://ej7guxgo78.execute-api.us-east-2.amazonaws.com/items/2112101,98,0,0
1641991598260,105,HTTP Request,200,OK,oracle 1-85,text,true,,365,164,21,21,https://ej7guxgo78.execute-api.us-east-2.amazonaws.com/items/2112101,105,0,0
1641991598212,154,HTTP Request,200,OK,oracle 1-61,text,true,,365,164,20,20,https://ej7guxgo78.execute-api.us-east-2.amazonaws.com/items/2112101,154,0,0
1641991598037,329,HTTP Request,200,OK,oracle 1-53,text,true,,365,164,20,20,https://ej7guxgo78.execute-api.us-east-2.amazonaws.com/items/2112101,329,0,0
1641991598283,88,HTTP Request,200,OK,oracle 1-70,text,true,,365,164,20,20,https://ej7guxgo78.execute-api.us-east-2.amazonaws.com/items/2112101,88,0,0
1641991598248,123,HTTP Request,200,OK,oracle 1-75,text,true,,365,164,20,20,https://ej7guxgo78.execute-api.us-east-2.amazonaws.com/items/2112101,123,0,0
1641991598250,126,HTTP Request,200,OK,oracle 1-67,text,true,,365,164,20,20,https://ej7guxgo78.execute-api.us-east-2.amazonaws.com/items/2112101,126,0,0
1641991598284,98,HTTP Request,200,OK,oracle 1-38,text,true,,365,164,19,19,https://ej7guxgo78.execute-api.us-east-2.amazonaws.com/items/2112101,98,0,0
1641991598269,124,HTTP Request,200,OK,oracle 1-84,text,true,,365,164,18,18,https://ej7guxgo78.execute-api.us-east-2.amazonaws.com/items/2112101,123,0,0
1641991598291,103,HTTP Request,200,OK,oracle 1-55,text,true,,365,164,18,18,https://ej7guxgo78.execute-api.us-east-2.amazonaws.com/items/2112101,103,0,0
1641991598282,120,HTTP Request,200,OK,oracle 1-78,text,true,,365,164,17,17,https://ej7guxgo78.execute-api.us-east-2.amazonaws.com/items/2112101,120,0,0
1641991598296,124,HTTP Request,200,OK,oracle 1-36,text,true,,365,164,17,17,https://ej7guxgo78.execute-api.us-east-2.amazonaws.com/items/2112101,123,0,0
1641991598338,105,HTTP Request,200,OK,oracle 1-63,text,true,,365,164,16,16,https://ej7guxgo78.execute-api.us-east-2.amazonaws.com/items/2112101,105,0,0
1641991598341,109,HTTP Request,200,OK,oracle 1-71,text,true,,365,164,16,16,https://ej7guxgo78.execute-api.us-east-2.amazonaws.com/items/2112101,109,0,0
1641991598257,200,HTTP Request,200,OK,oracle 1-77,text,true,,365,164,15,15,https://ej7guxgo78.execute-api.us-east-2.amazonaws.com/items/2112101,200,0,0
1641991598371,86,HTTP Request,200,OK,oracle 1-75,text,true,,365,164,15,15,https://ej7guxgo78.execute-api.us-east-2.amazonaws.com/items/2112101,86,0,0
